,Association,Dx Name,Mx Name,Prevalence,Import,LR (+),LR (-)
0,"362, 59",PEPTIC ULCER,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,0.09090909090909091,2,29.999999999999975,0.25641025641025644
1,"362, 62",PEPTIC ULCER,ABDOMEN PAIN EPIGASTRIUM SEASONAL HX,0.09090909090909091,2,1.1111111111111116,0.989010989010989
2,"362, 64",PEPTIC ULCER,ABDOMEN PAIN EXACERBATION WITH ALCOHOL,0.09090909090909091,2,1.1111111111111112,0.9090909090909091
3,"362, 198",PEPTIC ULCER,AGE 16 TO 25,0.09090909090909091,3,,
4,"362, 199",PEPTIC ULCER,AGE 26 TO 55,0.09090909090909091,3,,
5,"362, 200",PEPTIC ULCER,AGE GTR THAN 55,0.09090909090909091,3,,
6,"362, 208",PEPTIC ULCER,ALCOHOLISM CHRONIC HX,0.09090909090909091,3,1.1111111111111116,0.989010989010989
7,"362, 391",PEPTIC ULCER,ASPIRIN ADMINISTRATION IN LARGE AMOUNT RECENT HX,0.09090909090909091,1,0.101010101010101,90.00000000000192
8,"362, 957",PEPTIC ULCER,CIGARETTE SMOKING HX,0.09090909090909091,1,,
9,"362, 1046",PEPTIC ULCER,CORTICOSTEROID ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,0.09090909090909091,2,1.11111111111111,0.9989909182643795
10,"362, 1581",PEPTIC ULCER,GASTRECTOMY HX,0.09090909090909091,3,1.1111111111111116,0.989010989010989
11,"362, 1889",PEPTIC ULCER,HEMATEMESIS HX,0.09090909090909091,3,1.1111111111111116,0.989010989010989
12,"362, 3304",PEPTIC ULCER,SEX FEMALE,0.09090909090909091,3,,
13,"362, 3305",PEPTIC ULCER,SEX MALE,0.09090909090909091,3,,
14,"362, 3915",PEPTIC ULCER,ULCER PEPTIC FAMILY HX,0.09090909090909091,2,1.1111111111111116,0.989010989010989
15,"362, 3916",PEPTIC ULCER,ULCER PEPTIC HX,0.09090909090909091,2,1.1111111111111112,0.9090909090909091
16,"362, 4061",PEPTIC ULCER,WEIGHT LOSS GTR THAN 10 PERCENT,0.09090909090909091,3,,
17,"362, 56",PEPTIC ULCER,ABDOMEN PAIN CHRONIC,0.09090909090909091,3,1.1111111111111112,0.769230769230769
18,"362, 58",PEPTIC ULCER,ABDOMEN PAIN EPIGASTRIUM,0.09090909090909091,3,29.999999999999975,0.25641025641025644
