dx_id,dx_name,mx_id,mx_name,associations
114,CHOLEDOCHOLITHIASIS,5,ABDOMEN BRUIT PRESENT,"114,5"
114,CHOLEDOCHOLITHIASIS,6,ABDOMEN BRUIT SYSTOLIC EPIGASTRIUM,"114,6"
114,CHOLEDOCHOLITHIASIS,18,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS <ES> BILATERAL,"114,18"
114,CHOLEDOCHOLITHIASIS,19,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS UNILATERAL,"114,19"
114,CHOLEDOCHOLITHIASIS,32,ABDOMEN DISTENTION,"114,32"
114,CHOLEDOCHOLITHIASIS,41,ABDOMEN GUARDING INVOLUNTARY LOCALIZED,"114,41"
114,CHOLEDOCHOLITHIASIS,43,ABDOMEN MASS <ES> PRESENT <NON HEPATOSPLENIC>,"114,43"
114,CHOLEDOCHOLITHIASIS,44,ABDOMEN MASS EPIGASTRIUM,"114,44"
114,CHOLEDOCHOLITHIASIS,49,ABDOMEN MASS LEFT UPPER QUADRANT <NON SPLENIC>,"114,49"
114,CHOLEDOCHOLITHIASIS,53,ABDOMEN MASS RIGHT LOWER QUADRANT,"114,53"
114,CHOLEDOCHOLITHIASIS,54,ABDOMEN MASS RIGHT UPPER QUADRANT <NON HEPATIC>,"114,54"
114,CHOLEDOCHOLITHIASIS,55,ABDOMEN PAIN ACUTE,"114,55"
114,CHOLEDOCHOLITHIASIS,56,ABDOMEN PAIN CHRONIC,"114,56"
114,CHOLEDOCHOLITHIASIS,57,ABDOMEN PAIN COLICKY,"114,57"
114,CHOLEDOCHOLITHIASIS,58,ABDOMEN PAIN EPIGASTRIUM,"114,58"
114,CHOLEDOCHOLITHIASIS,59,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,"114,59"
114,CHOLEDOCHOLITHIASIS,60,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY ANTACID,"114,60"
114,CHOLEDOCHOLITHIASIS,61,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY FOOD,"114,61"
114,CHOLEDOCHOLITHIASIS,62,ABDOMEN PAIN EPIGASTRIUM SEASONAL HX,"114,62"
114,CHOLEDOCHOLITHIASIS,63,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,"114,63"
114,CHOLEDOCHOLITHIASIS,64,ABDOMEN PAIN EXACERBATION WITH ALCOHOL,"114,64"
114,CHOLEDOCHOLITHIASIS,65,ABDOMEN PAIN EXACERBATION WITH BREATHING,"114,65"
114,CHOLEDOCHOLITHIASIS,66,ABDOMEN PAIN EXACERBATION WITH COUGH,"114,66"
114,CHOLEDOCHOLITHIASIS,68,ABDOMEN PAIN EXACERBATION WITH FOOD,"114,68"
114,CHOLEDOCHOLITHIASIS,69,ABDOMEN PAIN EXACERBATION WITH MOTION,"114,69"
114,CHOLEDOCHOLITHIASIS,72,ABDOMEN PAIN HYPOGASTRIUM,"114,72"
114,CHOLEDOCHOLITHIASIS,73,ABDOMEN PAIN LEFT LOWER QUADRANT,"114,73"
114,CHOLEDOCHOLITHIASIS,74,ABDOMEN PAIN LEFT UPPER QUADRANT,"114,74"
114,CHOLEDOCHOLITHIASIS,75,ABDOMEN PAIN NON COLICKY,"114,75"
114,CHOLEDOCHOLITHIASIS,76,ABDOMEN PAIN ONSET GTR THAN 1 HOUR POSTPRANDIAL,"114,76"
114,CHOLEDOCHOLITHIASIS,77,ABDOMEN PAIN PERIUMBILICAL,"114,77"
114,CHOLEDOCHOLITHIASIS,78,ABDOMEN PAIN PRESENT,"114,78"
114,CHOLEDOCHOLITHIASIS,79,ABDOMEN PAIN RADIATING TO BACK,"114,79"
114,CHOLEDOCHOLITHIASIS,82,ABDOMEN PAIN RADIATING TO SCAPULAR AREA,"114,82"
114,CHOLEDOCHOLITHIASIS,85,ABDOMEN PAIN RELIEVED BY FASTING,"114,85"
114,CHOLEDOCHOLITHIASIS,86,ABDOMEN PAIN RELIEVED BY SQUATTING,"114,86"
114,CHOLEDOCHOLITHIASIS,87,ABDOMEN PAIN RELIEVED BY VOMITING,"114,87"
114,CHOLEDOCHOLITHIASIS,88,ABDOMEN PAIN RIGHT LOWER QUADRANT,"114,88"
114,CHOLEDOCHOLITHIASIS,89,ABDOMEN PAIN RIGHT UPPER QUADRANT,"114,89"
114,CHOLEDOCHOLITHIASIS,92,ABDOMEN PAIN SEVERE,"114,92"
114,CHOLEDOCHOLITHIASIS,96,ABDOMEN RESPIRATORY MOVEMENT DECREASED,"114,96"
114,CHOLEDOCHOLITHIASIS,100,ABDOMEN SURGERY RECENT HX,"114,100"
114,CHOLEDOCHOLITHIASIS,102,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,"114,102"
114,CHOLEDOCHOLITHIASIS,103,ABDOMEN TENDERNESS GENERALIZED,"114,103"
114,CHOLEDOCHOLITHIASIS,104,ABDOMEN TENDERNESS HYPOGASTRIUM,"114,104"
114,CHOLEDOCHOLITHIASIS,105,ABDOMEN TENDERNESS LEFT LOWER QUADRANT,"114,105"
114,CHOLEDOCHOLITHIASIS,106,ABDOMEN TENDERNESS LEFT UPPER QUADRANT,"114,106"
