,Dx Name,Mx Name,Import,LR (+),LR (-),Dx Prevalence,Prevalence
0,CHOLEDOCHOLITHIASIS,ABDOMEN BRUIT PRESENT,,1.0,1.0,3,0.001
1,CHOLEDOCHOLITHIASIS,ABDOMEN BRUIT SYSTOLIC EPIGASTRIUM,,1.0,1.0,3,0.001
2,CHOLEDOCHOLITHIASIS,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS <ES> BILATERAL,,1.0,1.0,3,0.001
3,CHOLEDOCHOLITHIASIS,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS UNILATERAL,,1.0,1.0,3,0.001
4,CHOLEDOCHOLITHIASIS,ABDOMEN DISTENTION,,1.0,1.0,3,0.001
5,CHOLEDOCHOLITHIASIS,ABDOMEN GUARDING INVOLUNTARY LOCALIZED,,1.0,1.0,3,0.001
6,CHOLEDOCHOLITHIASIS,ABDOMEN MASS <ES> PRESENT <NON HEPATOSPLENIC>,,1.0,1.0,3,0.001
7,CHOLEDOCHOLITHIASIS,ABDOMEN MASS EPIGASTRIUM,,1.0,1.0,3,0.001
8,CHOLEDOCHOLITHIASIS,ABDOMEN MASS LEFT UPPER QUADRANT <NON SPLENIC>,,1.0,1.0,3,0.001
9,CHOLEDOCHOLITHIASIS,ABDOMEN MASS RIGHT LOWER QUADRANT,,1.0,1.0,3,0.001
10,CHOLEDOCHOLITHIASIS,ABDOMEN MASS RIGHT UPPER QUADRANT <NON HEPATIC>,,1.0,1.0,3,0.001
11,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN ACUTE,3.0,111.00000000000114,0.502262443438914,3,0.001
12,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN CHRONIC,,1.0,1.0,3,0.001
13,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN COLICKY,3.0,111.00000000000114,0.502262443438914,3,0.001
14,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM,3.0,111.00000000000114,0.502262443438914,3,0.001
15,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,2.0,111.00000000000114,0.9008115419296664,3,0.001
16,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY ANTACID,,1.0,1.0,3,0.001
17,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY FOOD,,1.0,1.0,3,0.001
18,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM SEASONAL HX,,1.0,1.0,3,0.001
19,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,3.0,111.00000000000114,0.502262443438914,3,0.001
20,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH ALCOHOL,,1.0,1.0,3,0.001
21,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH BREATHING,,1.0,1.0,3,0.001
22,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH COUGH,,1.0,1.0,3,0.001
23,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH FOOD,2.0,10.090909090909081,0.9090081892629663,3,0.001
24,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH MOTION,,1.0,1.0,3,0.001
25,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN HYPOGASTRIUM,,1.0,1.0,3,0.001
26,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN LEFT LOWER QUADRANT,,1.0,1.0,3,0.001
27,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN LEFT UPPER QUADRANT,,1.0,1.0,3,0.001
28,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN NON COLICKY,,1.0,1.0,3,0.001
29,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN ONSET GTR THAN 1 HOUR POSTPRANDIAL,,1.0,1.0,3,0.001
30,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN PERIUMBILICAL,,1.0,1.0,3,0.001
31,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN PRESENT,2.0,1.0,1.0,3,0.001
32,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RADIATING TO BACK,,1.0,1.0,3,0.001
33,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RADIATING TO SCAPULAR AREA,3.0,10.090909090909081,0.9090081892629663,3,0.001
34,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RELIEVED BY FASTING,,1.0,1.0,3,0.001
35,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RELIEVED BY SQUATTING,,1.0,1.0,3,0.001
36,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RELIEVED BY VOMITING,,1.0,1.0,3,0.001
37,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RIGHT LOWER QUADRANT,,1.0,1.0,3,0.001
38,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RIGHT UPPER QUADRANT,3.0,10.090909090909081,0.5260663507109005,3,0.001
39,CHOLEDOCHOLITHIASIS,ABDOMEN PAIN SEVERE,3.0,10.090909090909081,0.9090081892629663,3,0.001
40,CHOLEDOCHOLITHIASIS,ABDOMEN RESPIRATORY MOVEMENT DECREASED,,1.0,1.0,3,0.001
41,CHOLEDOCHOLITHIASIS,ABDOMEN SURGERY RECENT HX,,1.0,1.0,3,0.001
42,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,,1.0,1.0,3,0.001
43,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS GENERALIZED,,1.0,1.0,3,0.001
44,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS HYPOGASTRIUM,,1.0,1.0,3,0.001
45,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS LEFT LOWER QUADRANT,,1.0,1.0,3,0.001
46,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS LEFT UPPER QUADRANT,,1.0,1.0,3,0.001
47,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS PERIUMBILICAL,,1.0,1.0,3,0.001
48,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS PRESENT,2.0,1.0,1.0,3,0.001
49,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS REBOUND LOCALIZED,,1.0,1.0,3,0.001
50,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS RIGHT LOWER QUADRANT,,1.0,1.0,3,0.001
51,CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS RIGHT UPPER QUADRANT <NON HEPATIC>,3.0,10.090909090909081,0.9090081892629663,3,0.001
52,CHOLEDOCHOLITHIASIS,ABDOMEN TRAUMA RECENT HX,,1.0,1.0,3,0.001
53,CHOLEDOCHOLITHIASIS,ABDOMEN TYMPANITES,,1.0,1.0,3,0.001
54,CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY COMMON BILE DUCT AND INTRAHEPATIC DUCT <S> DILATED,4.0,2996.9999999990705,0.500083430669114,3,0.001
55,CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY GALLBLADDER CONTAINING STONE <S>,3.0,111.00000000000114,0.9008115419296664,3,0.001
56,CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY GALLBLADDER ENLARGED,3.0,10.090909090909195,0.9909820542880332,3,0.001
57,CHOLEDOCHOLITHIASIS,ABDOMEN XRAY CALCIFICATION PANCREAS,,1.0,1.0,3,0.001
58,CHOLEDOCHOLITHIASIS,ABDOMEN XRAY DIFFUSE MOTTLING,,1.0,1.0,3,0.001
59,CHOLEDOCHOLITHIASIS,ABDOMEN XRAY GALLBLADDER CONTAINING STONE <S>,3.0,111.00000000000114,0.9008115419296664,3,0.001
60,CHOLEDOCHOLITHIASIS,ABDOMEN XRAY PNEUMATOSIS CYSTOIDES INTESTINALIS,,1.0,1.0,3,0.001
61,CHOLEDOCHOLITHIASIS,ABDOMEN XRAY SMALL INTESTINE SENTINEL LOOP,,1.0,1.0,3,0.001
62,CHOLEDOCHOLITHIASIS,ACTIVATED PARTIAL THROMBOPLASTIN TIME INCREASED,4.0,10.090909090909081,0.9090081892629663,3,0.001
63,CHOLEDOCHOLITHIASIS,AFFECT APPREHENSIVE,,1.0,1.0,3,0.001
64,CHOLEDOCHOLITHIASIS,AFFECT DEPRESSED,,1.0,1.0,3,0.001
65,CHOLEDOCHOLITHIASIS,AGE 16 TO 25,3.0,1.0,1.0,3,0.001
66,CHOLEDOCHOLITHIASIS,AGE 26 TO 55,3.0,1.0,1.0,3,0.001
67,CHOLEDOCHOLITHIASIS,AGE GTR THAN 55,3.0,1.0,1.0,3,0.001
68,CHOLEDOCHOLITHIASIS,ALBUMIN SERUM LESS THAN 3 GRAM <S> PER DL,,1.0,1.0,3,0.001
69,CHOLEDOCHOLITHIASIS,ALCOHOL INGESTION HEAVY RECENT HX,,1.0,1.0,3,0.001
70,CHOLEDOCHOLITHIASIS,ALCOHOLISM CHRONIC HX,,1.0,1.0,3,0.001
71,CHOLEDOCHOLITHIASIS,ALKALINE PHOSPHATASE SERUM GTR THAN 2 TIMES NORMAL,4.0,111.00000000000114,0.502262443438914,3,0.001
72,CHOLEDOCHOLITHIASIS,ALKALINE PHOSPHATASE SERUM INCREASED NOT OVER 2 TIMES NORMAL,3.0,111.00000000000114,0.502262443438914,3,0.001
73,CHOLEDOCHOLITHIASIS,AMYLASE SERUM GTR THAN 2 TIMES NORMAL,,1.0,1.0,3,0.001
74,CHOLEDOCHOLITHIASIS,AMYLASE SERUM INCREASED AFTER SECRETIN,,1.0,1.0,3,0.001
75,CHOLEDOCHOLITHIASIS,AMYLASE URINE INCREASED,,1.0,1.0,3,0.001
76,CHOLEDOCHOLITHIASIS,ANOREXIA,1.0,1.0,1.0,3,0.001
77,CHOLEDOCHOLITHIASIS,ANTIBODY ANISAKIS POSITIVE BY MONOCLONAL ANTIBODY,,1.0,1.0,3,0.001
78,CHOLEDOCHOLITHIASIS,ASPIRIN ADMINISTRATION IN LARGE AMOUNT RECENT HX,,1.0,1.0,3,0.001
79,CHOLEDOCHOLITHIASIS,BICARBONATE SERUM GTR THAN 30,,1.0,1.0,3,0.001
80,CHOLEDOCHOLITHIASIS,BILIRUBIN SERUM CONJUGATED INCREASED,3.0,110.9999999999993,0.25170068027210885,3,0.001
81,CHOLEDOCHOLITHIASIS,BILIRUBIN URINE PRESENT,3.0,111.00000000000114,0.502262443438914,3,0.001
82,CHOLEDOCHOLITHIASIS,BONE <S> RADIOISOTOPE SCAN INCREASED UPTAKE LOCALIZED,,1.0,1.0,3,0.001
83,CHOLEDOCHOLITHIASIS,BONE MARROW BIOPSY FAT NECROSIS,,1.0,1.0,3,0.001
84,CHOLEDOCHOLITHIASIS,BONE XRAY LONG BONE <S> CORTICAL EROSION <S>,,1.0,1.0,3,0.001
85,CHOLEDOCHOLITHIASIS,BONE XRAY OSTEOLYTIC LESION <S>,,1.0,1.0,3,0.001
86,CHOLEDOCHOLITHIASIS,BOWEL SOUND <S> DECREASED,,1.0,1.0,3,0.001
87,CHOLEDOCHOLITHIASIS,BREATH SOUND <S> DECREASED LOCALIZED,,1.0,1.0,3,0.001
88,CHOLEDOCHOLITHIASIS,CALCIUM SERUM DECREASED,,1.0,1.0,3,0.001
89,CHOLEDOCHOLITHIASIS,CALCIUM SERUM INCREASED,,1.0,1.0,3,0.001
90,CHOLEDOCHOLITHIASIS,CELIAC ANGIOGRAPHY PANCREAS ARTERY <IES> IRREGULAR NARROWING,,1.0,1.0,3,0.001
91,CHOLEDOCHOLITHIASIS,CELIAC ANGIOGRAPHY SPLENIC VEIN OCCLUSION,,1.0,1.0,3,0.001
92,CHOLEDOCHOLITHIASIS,CHEST PAIN LATERAL EXACERBATION WITH BREATHING,,1.0,1.0,3,0.001
93,CHOLEDOCHOLITHIASIS,CHEST PAIN LATERAL SHARP,,1.0,1.0,3,0.001
